Distance from coast (meters),Elevation above sea level (meters)
635000,273
636000,273
637000,273
638000,273
639000,273
640000,273
641000,273
642000,273
643000,273
644000,273
645000,273
646000,273
647000,273
648000,273
649000,273
650000,273
651000,273
652000,273
653000,273
654000,273
655000,273
656000,273
657000,273
658000,273
659000,273
660000,273
661000,273
662000,273
663000,273
664000,273
665000,273
666000,273
667000,273
668000,273
669000,273
670000,273
671000,273
672000,273
673000,273
674000,273
675000,273
676000,273
677000,273
678000,273
679000,273
680000,273
681000,273
682000,273
683000,273
684000,273
685000,273
686000,273
687000,273
688000,273
689000,273
690000,273
691000,273
692000,274
693000,274
694000,274
695000,274
696000,274
697000,274
698000,274
699000,274
700000,274
701000,274
702000,274
703000,274
704000,274
705000,274
706000,274
707000,274
708000,274
709000,274
710000,274
711000,274
712000,274
713000,274
714000,274
715000,274
716000,274
717000,274
718000,275
719000,275
720000,275
721000,275
722000,275
723000,276
724000,276
725000,276
726000,276
727000,276
728000,276
729000,276
730000,276
731000,276
732000,276
733000,276
734000,276
735000,276
736000,276
737000,276
738000,276
739000,276
740000,276
741000,276
742000,276
743000,276
744000,276
745000,276
746000,277
747000,277
748000,277
749000,277
750000,277
751000,278
752000,278
753000,278
754000,278
755000,278
756000,279
757000,279
758000,279
759000,279
760000,279
761000,279
762000,279
763000,279
764000,279
765000,279
766000,279
767000,280
768000,280
769000,280
770000,280
771000,282
772000,280
773000,280
774000,280
775000,280
776000,280
777000,281
778000,281
779000,281
780000,281
781000,281
782000,281
783000,281
784000,281
785000,281
786000,281
787000,282
788000,282
789000,282
790000,282
791000,282
792000,282
793000,282
794000,282
795000,282
796000,282
797000,282
798000,282
799000,282
800000,282
801000,282
802000,282
803000,282
804000,282
805000,282
806000,282
807000,282
808000,282
809000,282
810000,282
811000,282
812000,283
813000,283
814000,283
815000,283
816000,283
817000,283
818000,283
819000,283
820000,283
821000,283
822000,284
823000,283
824000,283
825000,283
826000,283
827000,283
828000,283
829000,283
830000,283
831000,283
832000,283
833000,283
834000,283
835000,283
836000,283
837000,283
838000,283
839000,283
840000,285
841000,283
842000,283
843000,283
844000,283
845000,283
846000,283
847000,283
848000,283
849000,283
850000,283
851000,283
852000,283
853000,283
854000,283
855000,283
856000,283
857000,287
858000,283
859000,283
860000,283
861000,283
862000,283
863000,284
864000,284
865000,284
866000,284
867000,284
868000,284
869000,284
870000,284
871000,284
872000,284
873000,284
874000,285
875000,285
876000,285
877000,285
878000,285
879000,285
880000,285
881000,285
882000,285
883000,285
884000,288
885000,286
886000,286
887000,286
888000,286
889000,286
890000,286
891000,286
892000,288
893000,286
894000,286
895000,286
896000,286
897000,287
898000,290
899000,289
900000,288
901000,287
902000,287
903000,287
904000,287
905000,287
906000,287
907000,287
908000,287
909000,287
910000,287
911000,288
912000,288
913000,288
914000,288
915000,288
916000,288
917000,288
918000,288
919000,288
920000,288
921000,288
922000,288
923000,288
924000,288
925000,288
926000,289
927000,289
928000,289
929000,289
930000,289
931000,289
932000,289
933000,289
934000,289
935000,289
936000,289
937000,289
938000,289
939000,289
940000,289
941000,289
942000,289
943000,289
944000,289
945000,289
946000,289
947000,289
948000,289
949000,289
950000,289
951000,289
952000,289
953000,289
954000,289
955000,289
956000,289
957000,290
958000,290
959000,290
960000,290
961000,292
962000,290
963000,290
964000,290
965000,290
966000,290
967000,290
968000,290
969000,291
970000,291
971000,291
972000,291
973000,291
974000,291
975000,291
976000,291
977000,291
978000,291
979000,291
980000,292
981000,292
982000,292
983000,292
984000,292
985000,292
986000,292
987000,292
988000,292
989000,292
990000,292
991000,293
992000,293
993000,293
994000,293
995000,293
996000,293
997000,293
998000,293
999000,293
1.00E+06,293
1001000,293
1002000,294
1003000,294
1004000,294
1005000,294
1006000,294
1007000,294
1008000,294
1009000,294
1010000,294
1011000,294
1012000,294
1013000,294
1014000,294
1015000,294
1016000,294
1017000,294
1018000,294
1019000,296
1020000,294
1021000,294
1022000,294
1023000,294
1024000,294
1025000,294
1026000,294
1027000,294
1028000,294
1029000,294
1030000,294
1031000,294
1032000,294
1033000,294
1034000,294
1035000,294
1036000,294
1037000,294
1038000,294
1039000,294
1040000,294
1041000,294
1042000,294
1043000,294
1044000,294
1045000,294
1046000,294
1047000,294
1048000,294
1049000,294
1050000,294
1051000,294
1052000,294
1053000,294
1054000,294
1055000,294
1056000,294
1057000,294
1058000,294
1059000,294
1060000,294
1061000,299
1062000,294
1063000,294
1064000,294
1065000,294
1066000,294
1067000,294
1068000,294
1069000,294
1070000,294
1071000,294
1072000,294
1073000,294
1074000,294
1075000,294
1076000,294
1077000,294
1078000,294
1079000,294
1080000,294
1081000,294
1082000,294
1083000,294
1084000,294
1085000,294
1086000,294
1087000,294
